date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:33:52	54085/54085	---M--	200	added ('OK')	image/jpeg	etag:%22d345-51d55aaef699a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image39.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image39.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch08s05.html)
21:33:52	105958/105958	---M--	200	added ('OK')	image/jpeg	etag:%2219de6-51d55aaf034ba%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image40.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image40.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch09.html)
21:33:52	7455/7455	---M--	200	added ('OK')	image/jpeg	etag:%221d1f-51d55aaf0927a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image41.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image41.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch09.html)
21:33:52	6166/6166	---M--	200	added ('OK')	image/jpeg	etag:%221816-51d55aaf0e09a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image42.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image42.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch09.html)
21:33:53	11455/11455	---M--	200	added ('OK')	image/jpeg	etag:%222cbf-51d55aaf13e5a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image43.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image43.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch09.html)
21:33:53	38407/38407	---M--	200	added ('OK')	image/jpeg	etag:%229607-51d55aaf19c1a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image44.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image44.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch09.html)
21:33:53	16857/16857	---M--	200	added ('OK')	image/jpeg	etag:%2241d9-51d55aaf1f9da%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image45.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image45.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch09.html)
21:33:53	13687/13687	---M--	200	added ('OK')	image/jpeg	etag:%223577-51d55aaf247fa%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image46.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image46.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch09.html)
21:33:53	11495/11495	---M--	200	added ('OK')	image/jpeg	etag:%222ce7-51d55aaf2a5ba%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image47.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image47.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch09.html)
21:33:54	14047/14047	---M--	200	added ('OK')	image/jpeg	etag:%2236df-51d55aaf3037a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image48.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image48.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch09.html)
21:33:54	26842/26842	---M--	200	added ('OK')	image/jpeg	etag:%2268da-51d55aaf3519a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image49.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image49.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch09.html)
21:33:54	16804/16804	---M--	200	added ('OK')	image/jpeg	etag:%2241a4-51d55aaf43bfa%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image50.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image50.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch09.html)
21:33:54	14913/14913	---M--	200	added ('OK')	image/jpeg	etag:%223a41-51d55aaf48a1a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image51.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image51.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch09.html)
21:33:55	27217/27217	---M--	200	added ('OK')	image/jpeg	etag:%226a51-51d55aaf4e7da%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image52.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image52.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch09.html)
21:33:55	14656/14656	---M--	200	added ('OK')	image/jpeg	etag:%223940-51d55aaf5459a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image53.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image53.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch09.html)
21:33:55	40427/40427	---M--	200	added ('OK')	image/jpeg	etag:%229deb-51d55aaf5a35a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image54.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image54.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch09.html)
21:33:55	31770/31770	---M--	200	added ('OK')	image/jpeg	etag:%227c1a-51d55aaf6011a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image55.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image55.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch09.html)
21:33:55	22271/22271	---M--	200	added ('OK')	image/jpeg	etag:%2256ff-51d55aaf65eda%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image56.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image56.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch09.html)
21:33:56	23432/23432	---M--	200	added ('OK')	image/jpeg	etag:%225b88-51d55aaf6bc9a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image57.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image57.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch09s02.html)
21:33:56	180980/180980	---M--	200	added ('OK')	image/jpeg	etag:%222c2f4-51d55aaf71a5a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image58.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image58.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch09s03.html)
21:33:56	100335/100335	---M--	200	added ('OK')	image/jpeg	etag:%22187ef-51d55aaf7781a%22	https://gyires.inf.unideb.hu/KMITT/c02/images/image59.jpg	d:/Letoltott%20weblapok/szftervezes/gyires.inf.unideb.hu/KMITT/c02/images/image59.jpg	(from https://gyires.inf.unideb.hu/KMITT/c02/ch09s04.html)
